-25 25 12.6778 0.0988
-15 25 13.2204 0.0644
-5 25 15.1306 0.0712
5 25 18.5761 0.0712
15 25 22.7180 0.0886
25 25 21.8608 0.0840
-25 15 12.1452 0.0913
-15 15 12.8255 0.1089
-5 15 14.7335 0.1062
5 15 19.5573 0.0913
15 15 63.5590 0.2145
25 15 23.0606 0.0907
-25 5 11.9591 0.0648
-15 5 12.5949 0.0694
-5 5 13.8484 0.0748
5 5 16.4772 0.0774
15 5 19.5333 0.0859
25 5 19.0966 0.0814
-25 -5 11.7976 0.1056
-15 -5 12.0966 0.0957
-5 -5 12.6558 0.0680
5 -5 14.0821 0.1177
15 -5 14.8852 0.1190
25 -5 15.3574 0.0845
-25 -15 11.0741 0.0550
-15 -15 10.5238 0.0067
-5 -15 11.9254 0.0663
5 -15 12.8002 0.1009
15 -15 12.9209 0.0876
25 -15 13.4989 0.1077
-25 -25 11.1382 0.0881
-15 -25 11.3090 0.0772
-5 -25 11.6415 0.0770
5 -25 12.0845 0.0911
15 -25 12.2348 0.0947
25 -25 12.5893 0.0858
