2.5 2.5 32.7474 0.2443
2.5 5.0 29.2310 0.2289
2.5 7.5 27.0790 0.1654
2.5 10.0 25.9832 0.1504
2.5 12.5 25.6497 0.1452
5.0 2.5  29.0590 0.2135
5.0 5.0 27.8018 0.1626
5.0 7.5 27.4127 0.2127
5.0 10.0 26.5452 0.1639
5.0 12.5 25.9516 0.1588
7.5 2.5 27.4798 0.1889
7.5 5.0 26.6293 0.1564
7.5 7.5 26.0468 0.1321
7.5 10.0 26.1231 0.1742
7.5 12.5 25.8769 0.1590
10.0 2.5 26.2629 0.1796
10.0 5.0 26.6025 0.1866
10.0 7.5 26.1676 0.1613
10.0 10.0 25.6468 0.1482
10.0 12.5 26.4576 0.3026
12.5 2.5 25.9039 0.1844
12.5 5.0 26.1805 0.2108
12.5 7.5 25.7514 0.1675
12.5 10.0 26.0331 0.1821
12.5 12.5 25.5718 0.1592
