-25 25 10.9663 0.1095
-15 25 11.5144 0.5236
-5 25 12.3295 0.4257
5 25 13.2654 0.1181
15 25 14.9715 0.1566
25 25 14.4037 0.1451
-25 15 11.1135 0.0968
-15 15 11.3452 0.1585
-5 15 12.2604 0.1790
5 15 14.0165 0.1586
15 15 35.2122 0.2011
25 15 14.7598 0.1172
-25 5 11.6724 0.0953
-15 5 11.7185 0.1139
-5 5 12.4919 0.3663
5 5 13.2071 0.3004
15 5 14.0046 0.1803
25 5 13.2919 0.1026
-25 -5 13.4408 0.1403
-15 -5 13.6437 0.1299
-5 -5 12.8136 0.1195
5 -5 12.1571 0.1055
15 -5 11.9282 0.1158
25 -5 12.0537 0.1433
-25 -15 15.1804 0.1664
-15 -15 35.2007 0.2085
-5 -15 14.0356 0.2211
5 -15 11.7816 0.1534
15 -15 11.1167 0.0998
25 -15 11.3417 0.1972
-25 -25 14.1877 0.1000
-15 -25 14.8538 0.1362
-5 -25 13.4604 0.1114
5 -25 11.9203 0.1242
15 -25 11.0240 0.0903
25 -25 11.1934 0.4166
